codigo_postal;municipio;poblacion;indice_mujeres;grado_juventud;proporcion_dependencia(%);extranjeros_censados(%);tasa_paro(%);pib_pc;centros_salud_10000;densidad_poblacional(hab/km2);n_discotecas;media_de_edad;indice_de_criminalidad;num_sin_estudios;num_secundaria;num_superior;DelitosLibSex_24
;Badalona;227083;0.52;0.17;0.24;0.21;11.73;24200;0.49;10966.7;4;43.7;59.4;9533;104799;46810;98
;Barbera_del_Valles;33575;0.51;0.18;0.23;0.27;8.62;23000;0.91;6130.5;0;41.5;42.5;584;15486;8437;8
;Barcelona;1702547;0.53;0.16;0.24;0.18;8.9;37700;0.31;16637.5;100;44;72.1;43691;582414;564084;1.273
;Castellar_del_Valles;25301;0.51;0.19;0.23;0.16;7.09;22200;0.8;1011;0;41.9;32.7;427;11641;6614;7
;Castelldefels;69196;0.52;0.18;0.25;0.26;9.44;31400;0.6;2723.2;5;45.3;50.1;308;25835;22548;33
;Cerdanyola_del_Valles;57831;0.52;0.18;0.23;0.23;8.87;28500;0.69;4091.8;1;41.9;48.2;1442;24689;16177;21
;Cornella_de_Llobregat;91196;0.51;0.17;0.24;0.31;10.87;25400;0.56;9940;1;42.8;50.2;3607;40574;20964;60
;Esparreguera;22499;0.51;0.18;0.23;0.15;8.49;20400;0.91;1258;0;42.2;37.6;566;10895;5214;5
;Esplugues_de_Llobregat;47700;0.53;0.18;0.25;0.2;6.98;32300;0.65;8358.6;2;44.7;47.8;2040;19441;12724;19
;Les_Franqueses_del_Valles;20667;0.51;0.18;0.23;0.19;5.48;22900;1;777.6;0;40.6;31.1;735;9554;4460;4
;Gava;47961;0.52;0.17;0.25;0.24;8.34;30100;0.64;2659.6;1;44.5;49;723;2657;1122;19
;Granollers;63897;0.52;0.18;0.23;0.22;7.31;25400;0.81;3864.6;2;41.9;48.4;1686;28613;15334;41
;L’Hospitalet_de_Llobregat;265444;0.51;0.17;0.24;0.32;12.07;23400;0.4;21464.5;2;43.3;61.3;10783;125467;54471;198
;Igualada;41755;0.51;0.19;0.23;0.22;7.98;24400;0.95;2308.8;2;43.6;42.8;778;18657;10094;21
;Manlleu;21291;0.51;0.19;0.23;0.26;6.52;24200;0.95;3522.5;0;42.4;31.5;1320;9946;3368;8
;Manresa;79737;0.52;0.18;0.24;0.21;9.22;24800;0.65;2607.9;3;44;48.8;1775;34963;18108;44
;Martorell;28483;0.51;0.18;0.24;0.19;8.98;25300;1.03;1948;1;40.7;41.1;1623;13878;5266;20
;El_Masnou;24444;0.53;0.18;0.25;0.16;7.06;30300;0.83;6746.4;1;46.1;54;406;8614;8816;7
;Mataro;130887;0.52;0.18;0.24;0.24;10.22;23600;0.54;4382.9;3;44;55.2;6833;59613;27352;58
;Molins_de_Rei;26930;0.52;0.18;0.24;0.14;7.17;28900;1.15;3834.1;1;43.9;34.2;443;10824;8196;9
;Mollet_del_Valles;52045;0.51;0.18;0.23;0.24;7.77;23400;0.77;5480.2;1;42.4;41.2;1654;25108;10592;28
;Montcada_i_Reixac;37096;0.51;0.18;0.23;0.24;9.81;21500;0.91;3328.5;1;42.8;37.2;869;17205;7911;19
;Olesa_de_Montserrat;24703;0.51;0.18;0.23;0.13;11.15;18700;0.83;2112.6;0;42.6;35.9;547;11494;5480;6
;Pineda_de_Mar;29415;0.51;0.18;0.24;0.27;11.73;21300;1.03;3090.3;3;44.8;49.2;1599;14549;5152;16
;El_Prat_de_Llobregat;65910;0.51;0.17;0.24;0.33;10.44;26900;0.61;6136.5;1;42.4;57.1;1755;30948;14543;33
; Premia_de_Mar;28928;0.52;0.18;0.23;0.17;12.03;26400;1.03;5864.8;1;44.9;47.4;815;12119;8010;15
;Ripollet;39430;0.51;0.18;0.23;0.26;10.84;20700;0.77;8046;0;42.3;39.8;558;18981;8039;19
;Rubi;81523;0.51;0.18;0.23;0.24;8.14;26000;0.63;3655;2;42.5;45;784;585;242;29
;Sabadell;221564;0.52;0.18;0.24;0.23;10.42;24900;0.46;3491.3;4;43.2;52;8188;98386;49657;74
;Sant_Adria_de_Besos;38672;0.51;0.17;0.24;0.34;12.97;21600;0.79;10155.9;1;44;56.5;1238;17736;7005;33
;Sant_Andreu_de_la_Barca;27039;0.51;0.18;0.24;0.18;9.39;24000;1.11;3440.7;0;41.6;38.9;835;13031;5629;6
;Sant_Boi_de_Llobregat;84588;0.52;0.18;0.24;0.24;10.97;27500;0.6;4542;1;44.3;47.8;3263;39513;18775;38
;Sant_Cugat_del_Vallès;98649;0.52;0.18;0.24;0.15;6.36;37100;0.62;2871.9;2;42.5;35.1;513;25114;41112;20
;Sant_Feliu_de_Llobregat;46381;0.52;0.18;0.25;0.17;7.44;25700;0.67;7917.2;1;43.7;46.1;1032;19865;12265;14
;Sant_Joan_Desp;35012;0.53;0.18;0.25;0.16;7.04;31200;0.88;8922.6;1;43.8;43.8;761;13882;9995;11
;Sant_Just_Desvern;20815;0.52;0.18;0.25;0.16;5.32;41400;1.05;5894.8;1;46;38.6;178;5171;8220;5
;Sant_Pere_de_Ribes;32006;0.52;0.18;0.24;0.17;6.85;26700;0.97;1254;2;44.9;48.8;820;14154;8308;9
;Sant_Vicenç_dels_Horts;28595;0.51;0.17;0.24;0.36;11.28;24400;1.07;4144.4;0;43.3;39.5;816;13995;5825;16
;Santa_Coloma_de_Gramenet;120903;0.51;0.18;0.23;0.23;7.78;19400;0.51;16591.8;2;42.7;58.4;4288;57650;18803;53
;Santa_Perpetua_de_Mogoda;25936;0.52;0.17;0.25;0.25;6.45;23900;0.74;2766.7;0;41.1;35.7;1013;12572;5590;13
;Sitges;32496;0.52;0.18;0.24;0.2;9.52;35300;0.97;1838.6;7;46.1;62.4;464;11248;11977;18
;Terrassa;228294;0.52;0.18;0.23;0.21;8.09;23400;0.45;3585;4;42.8;48.9;5815;101543;52355;123
;Vic;49333;0.52;0.18;0.23;0.21;7.64;26200;0.85;1205.8;2;42.9;42.9;1051;21018;10169;32
;Viladecans;67179;0.51;0.18;0.23;0.21;9.18;27700;0.6;4246.1;1;44.1;52.5;2188;31204;15861;20
;Vilafranca_del_Penedes;41541;0.52;0.18;0.25;0.21;8.61;26500;0.75;1231.1;2;43.5;42.1;972;17661;9247;23
;Vilanova_i_la_Geltru;70293;0.52;0.18;0.24;0.14;6.24;24200;0.59;2887.6;4;44.3;56.4;672;30103;18172;18
;Vilassar_de_Mar;21169;0.51;0.18;0.25;0.2;6.54;29100;0.95;5629.3;1;45.8;45.8;181;7834;7361;6
;Banyoles;20599;0.51;0.18;0.25;0.27;9.52;24100;1;1137.3;1;42.9;37.2;952;8393;4517;14
;Blanes;42198;0.52;0.18;0.24;0.22;11.03;19700;0.73;2508.4;5;42.9;55.2;1068;20244;8693;18
;Figueres;48670;0.52;0.18;0.24;0.37;9.75;21900;0.85;2610.3;4;42.8;61.5;3074;23328;6089;36
;Girona;106476;0.52;0.17;0.24;0.28;11.28;28300;0.58;1341.4;6;42.5;54.8;1754;43037;27334;88
;Lloret_de_Mar;42134;0.51;0.18;0.24;0.29;9.65;20200;0.75;1171.1;10;41.2;72.9;650;21774;5565;50
;Palafrugell;24245;0.51;0.18;0.25;0.31;10.51;21800;0.87;1139.8;2;42.8;53.4;631;11435;3807;14
;Roses;20255;0.51;0.17;0.24;0.37;9.6;21200;1;1393.2;6;43.9;66.6;381;9580;3334;10
;Salt;33946;0.51;0.18;0.25;0.23;13.85;17000;0.94;7625.9;1;38.8;64.7;2596;14527;3653;26
;Sant_Feliu_de_Guixols;22934;0.51;0.17;0.24;0.21;12.85;22900;0.91;1082.1;3;45;47;951;10556;4548;15
;Lleida;144878;0.52;0.17;0.24;0.22;10.13;25100;0.5;698;4;42.8;45.6;4400;62703;33535;128
;Amposta;22637;0.51;0.18;0.24;0.26;8.84;44200;0.95;252.6;1;44.2;40.9;710;10515;4368;16
;Calafell;31567;0.51;0.17;0.25;0.29;10.82;25800;1.03;1365.6;4;42.8;50.5;375;14023;6835;20
;Cambrils;36686;0.51;0.17;0.25;0.32;11.42;26300;0.83;948.8;5;44.8;50.3;899;16548;8540;18
