codigo_postal;municipio;poblacion;indice_mujeres;grado_juventud;proporcion_dependencia(%);extranjeros_censados(%);tasa_paro(%);pib_pc;centros_salud_10000;densidad_poblacional(hab/km2);n_discotecas;media_de_edad;indice_de_criminalidad;num_sin_estudios;num_secundaria;num_superior;DelitosLibSex_24;;;;;;;;;;;;;;;;;;;;;;;
15001;A_Coruña;245541;54.12;20.35;46.94;13.4;5.14;27964;1.02;6488.8;9;43;50.1;3074;97849;78689;;;;;;;;;;;;;;;;;;;;;;;;
15145;A_Laracha;11603;50.8;21.37;48.69;19.46;3.04;14009;0.86;252.24;1;45;23.96;855;5248;1514;;;;;;;;;;;;;;;;;;;;;;;;
15220;Ames;32812;52.58;27.16;40.81;13.79;3.85;15192;0.3;2757.8;2;40;29;711;12504;9707;;;;;;;;;;;;;;;;;;;;;;;;
15940;A Pobra do Caramiñal;9184;50.76;23.08;50.35;10.6;3.47;20616;1.09;345.46;1;45;25;184;4872;2541;;;;;;;;;;;;;;;;;;;;;;;;
15142;Arteixo;34038;50.7;22.63;44.79;16.09;4.4;61671;0.59;822.46;2;41;21.03;1396;14658;9718;;;;;;;;;;;;;;;;;;;;;;;;
15165;Bergondo;6986;51.04;18.61;44.04;11.98;3.93;49749;1.43;261.6;0;44;26;204;2583;2107;;;;;;;;;;;;;;;;;;;;;;;;
15300;Betanzos;13261;52.35;22.83;47.89;12.72;4.52;20276;0.75;275.34;1;42;28;449;6198;3793;;;;;;;;;;;;;;;;;;;;;;;;
15930;Boiro;19018;51.4;24.69;45.92;14.55;3.35;18519;0.53;219.6;1;47;30;993;10665;3885;;;;;;;;;;;;;;;;;;;;;;;;
27880;Burela;9547;49.78;26.93;44.37;9.64;3.65;21629;1.05;237;1;50;32;464;4092;2134;;;;;;;;;;;;;;;;;;;;;;;;
15660;Cambre;24781;51.3;25.98;43.53;12.42;4.48;15414;0.81;437.8;1;42;27.12;425;11132;7070;;;;;;;;;;;;;;;;;;;;;;;;
15100;Carballo;31595;51.27;23.59;49.09;13.54;5.21;17375;0.63;432.3;3;43;20.56;366;16034;6025;;;;;;;;;;;;;;;;;;;;;;;;
15270;Cee;7740;52.3;19.01;51.47;14.38;2.13;19099;1.29;418.38;1;44;24;477;3367;1582;;;;;;;;;;;;;;;;;;;;;;;;
