codigo_postal;municipio;poblacion;indice_mujeres;grado_juventud;proporcion_dependencia(%);extranjeros_censados(%);tasa_paro(%);pib_pc;centros_salud_10000;densidad_poblacional(hab/km2);n_discotecas;media_de_edad;indice_de_criminalidad;num_sin_estudios;num_secundaria;num_superior;DelitosLibSex_24
28079;Madrid;3422416;0.53;0.12;0.48;0.18;0.04;40592;0.38;5657.07;20;44.5;0.53;52786;1203311;1055899;1753
28092;Mostoles;213268;0.52;0.13;0.57;0.14;0.05;14517;0.43;4742.45;3;40.9;0.46;4166;102409;44241;57
28005;Alcala_de_Henares;199804;0.52;0.13;0.49;0.17;0.05;24825;0.5;2270.76;4;39.6;0.41;4217;89081;50472;68
28074;Leganes;193934;0.52;0.13;0.55;0.13;0.05;21306;0.47;4484.02;3;41.4;0.52;6866;94487;44945;63
28065;Getafe;191560;0.51;0.15;0.52;0.14;0.05;26871;0.48;2434.36;3;40.1;0.46;5037;84487;46929;62
28058;Fuenlabrada;190496;0.51;0.13;0.46;0.11;0.05;19956;0.37;4852.35;2;38.9;0.51;8352;103387;32038;45
28007;Alcorcon;174740;0.52;0.13;0.55;0.12;0.04;21703;0.41;5260;2;41.8;0.49;6159;71143;50438;33
28148;Torrejon_de_Ardoz;141047;0.51;0.15;0.45;0.18;0.05;20371;0.44;4254.65;2;39.3;0.53;716;66557;28777;49
28106;Parla;134876;0.5;0.18;0.46;0.23;0.06;10343;0.3;5399.36;1;39.4;0.54;3261;67920;19667;64
28006;Alcobendas;121446;0.52;0.15;0.49;0.17;0.03;63523;0.42;2682.7;4;42.2;0.35;1856;44253;36183;50
28123;Rivas-Vaciamadrid;101637;0.51;0.19;0.41;0.09;0.04;18348;0.3;1509.09;1;37.6;0.34;763;36614;31421;29
28127;Las_Rozas_de_Madrid;99193;0.52;0.16;0.47;0.1;0.03;36668;0.2;1699.97;3;42.3;0.33;502;25848;41771;40
28134;San_Sebastian_de_los_Reyes;94942;0.52;0.16;0.47;0.13;0.04;31380;0.32;160.13;3;40.4;0.4;1524;34150;29957;27
28115;Pozuelo_de_Alarcon;89123;0.52;0.15;0.52;0.1;0.02;57403;0.34;2068.3;2;43.9;0.25;861;24003;35139;10
