codigo_postal;municipio;poblacion;indice_mujeres;grado_juventud;proporcion_dependencia(%);extranjeros_censados(%);tasa_paro(%);pib_pc;centros_salud_10000;densidad_poblacional(hab/km2);n_discotecas;media_de_edad;indice_de_criminalidad;num_sin_estudios;num_secundaria;num_superior;DelitosLibSex_24
28079;Madrid;3422416;0.53;12.11;0.48;18.09;4.28;40592;0.38;5657.07;20;44.5;52.7;52786;1203311;1055899;
28092;Mostoles;213268;0.52;13.4;0.57;13.63;4.94;14517;0.43;4742.45;3;40.9;45.9;4166;102409;44241;
28005;Alcala_de_Henares;199804;0.52;12.98;0.49;17.24;5.21;24825;0.5;2270.76;4;39.6;41.1;4217;89081;50472;
28074;Leganes;193934;0.52;13.05;0.55;13.48;4.72;21306;0.47;4484.02;3;41.4;51.5;6866;94487;44945;
28065;Getafe;191560;0.51;14.9;0.52;14.46;4.66;26871;0.48;2434.36;3;40.1;46.5;5037;84487;46929;
28058;Fuenlabrada;190496;0.51;13.26;0.46;11.4;5.47;19956;0.37;4852.35;2;38.9;50.9;8352;103387;32038;
28007;Alcorcon;174740;0.52;12.87;0.55;12.32;4.45;21703;0.41;5260;2;41.8;48.8;6159;71143;50438;
28148;Torrejon_de_Ardoz;141047;0.51;15.04;0.45;18.43;5.04;20371;0.44;4254.65;2;39.3;53.1;716;66557;28777;
28106;Parla;134876;0.5;17.77;0.46;23.18;6.02;10343;0.3;5399.36;1;39.4;54.4;3261;67920;19667;
28006;Alcobendas;121446;0.52;15.14;0.49;16.75;3.35;63523;0.42;2682.7;4;42.2;35.3;1856;44253;36183;
28123;Rivas-Vaciamadrid;101637;0.51;18.51;0.41;9.34;3.92;18348;0.3;1509.09;1;37.6;33.7;763;36614;31421;
28127;Las_Rozas_de_Madrid;99193;0.52;16.45;0.47;9.56;2.66;36668;0.2;1699.97;3;42.3;33.3;502;25848;41771;
28134;San_Sebastian_de_los_Reyes;94942;0.52;16.07;0.47;13;3.6;31380;0.32;160.13;3;40.4;40.1;1524;34150;29957;
28115;Pozuelo_de_Alarcon;89123;0.52;15.15;0.52;10.04;2.33;57403;0.34;2068.3;2;43.9;24.9;861;24003;35139;
28161;Valdemoro;83582;0.51;16.78;0.39;11.63;4.65;22252;0.25;1301.09;2;38.1;42.5;1156;36281;20014;
28049;Coslada;80688;0.51;11.92;0.55;18.47;4.52;27491;0.62;6707.23;1;41.6;47.4;1440;40617;17480;
28080;Majadahonda;73547;0.53;15.29;0.51;12.19;2.7;28257;0.28;1910.81;2;43.8;25.9;540;21446;28335;
28047;Collado_Villalba;67323;0.52;13.65;0.42;19.17;5.28;16508;0.46;2669.43;1;40.5;43.6;969;29103;19259;
28022;Boadilla_del_Monte;65528;0.51;18.87;0.45;8.5;2.09;23452;0.15;1379.83;1;44;23.7;259;16995;24545;
28013;Aranjuez;62508;0.51;15.22;0.49;16.13;5.51;20852;0.33;330.43;2;42.6;43.5;2150;25023;16079;
28014;Arganda_del_Rey;59209;0.5;16.4;0.44;22.39;5.96;34050;0.34;737.16;2;39.6;44.1;1515;28101;11880;
28045;Colmenar_Viejo;56878;0.51;16.53;0.45;13.87;3.74;22819;0.36;310.84;1;41.8;35.1;1034;21137;15369;
28113;Pinto;55989;0.51;16.3;0.43;12.37;4.73;27086;0.36;902.61;1;38.6;44.8;898;24662;13636;
28903;Tres_Cantos;52825;0.51;16.16;0.47;9.07;2.74;60943;0.39;1391.6;1;42.1;29.1;222;13620;21558;
28130;San_Fernando_de_Henares;38969;0.52;12.16;0.44;14.3;4.91;41590;0.51;1002.55;1;40.9;48.1;736;20790;8264;
28015;Arroyomolinos;37299;0.5;23.35;0.44;6.87;3.53;20214;0;1792.36;1;36.9;35.7;222;12950;10100;
28061;Galapagar;36112;0.51;14.5;0.42;16.81;4.45;11251;0.28;553.53;0;42.8;29.8;478;12543;11178;
28096;Navalcarnero;32684;0.5;19;0.47;11.87;5.06;17356;0.31;323.96;1;40.7;34.3;633;13604;7404;
28181;Villaviciosa_de_Odon;29294;0.52;12.48;0.5;12.44;2.73;21593;0.35;429.34;1;44.2;26.3;483;10381;9948;
28104;Paracuellos_de_Jarama;27241;0.5;22.01;0.45;13.41;3.01;16512;0.37;621.8;0;39.3;23.3;224;8119;9200;
28040;Ciempozuelos;26046;0.5;14.63;0.44;17.31;5.32;24010;0.39;527.35;0;39.9;38.4;1270;12244;4687;
28152;Torrelodones;25250;0.52;16.28;0.46;7.59;2.59;17222;0.4;1164.67;1;45;20.3;144;6878;10004;
28084;Mejorada_del_Campo;24632;0.5;14.98;0.43;16.76;5.32;19992;0.41;1372.26;0;39.3;42.1;353;13021;3930;
28176;Villanueva_de_la_Canada;23714;0.52;16.69;0.43;17.56;2.84;19047;0.42;681.63;0;40.9;23.9;211;7353;8081;
28009;Algete;21134;0.51;15.49;0.44;12.62;3.77;26997;0.48;556.89;1;38.4;31.8;273;8829;6118;
28132;San_Martin_de_la_Vega;20664;0.49;17.22;0.41;19.54;5.74;19990;0.49;196.48;0;38.2;44.5;901;9826;3489;
28073;Humanes_de_Madrid;20054;0.5;18.1;0.42;13.44;5.89;39642;0.5;1018.49;0;38.8;39.8;251;10006;3404;
28131;San_Lorenzo_de_El_Escorial;18772;0.52;13.18;0.5;10.83;3.85;17485;0.54;332.84;0;44.8;25.3;256;7211;6197;
28177;Villanueva_del_Pardillo;17994;0.52;16.87;0.37;11.69;3.18;13179;0;707.03;0;41.2;27.5;136;6052;5851;
28172;Villalbilla;17967;0.5;20.23;0.44;7.44;3.19;12244;0;517.48;0;38.1;30.4;86;6208;4861;
28054;El_Escorial;17262;0.51;13.03;0.5;11.66;4.38;14641;0;250.83;0;44.1;31.1;193;6441;5633;
28068;Guadarrama;17069;0.51;14.05;0.49;10.88;4.35;14950;0.59;298.46;0;45.2;28.2;281;7372;4657;
28083;Meco;15812;0.5;16.46;0.36;13.45;4.3;33502;0.65;452.42;0;35.9;40.5;146;7257;3685;
28010;Alpedrete;15655;0.51;14.01;0.41;10.07;4.13;13117;0;1235.6;0;43.6;24.5;99;4999;6109;
28090;Moralzarzal;14504;0.5;15.26;0.43;9.62;3.55;12776;0;333.04;0;44.7;23.2;150;5306;4674;
28160;Valdemorillo;14139;0.5;15.16;0.43;13.79;4.57;12771;0;150.58;0;44.4;24.7;201;5081;4322;
28167;Velilla_de_San_Antonio;14008;0.5;15.44;0.36;10.94;4.5;16521;0;974.13;0;38.6;38.8;131;6408;2910;
28129;San_Agustin_del_Guadalix;13849;0.51;16.71;0.41;14.46;3.65;20536;0;361.88;0;42.5;27.8;320;5017;4266;
28026;Brunete;11263;0.51;15;0.41;19.8;3.81;14695;0;228.88;0;41.1;28.5;145;4572;2452;
28066;Grinon;10714;0.5;14.92;0.47;8.98;3.83;32869;0.99;626.55;0;37.1;40.8;249;4831;2627;
28053;Daganzo_de_Arriba;10673;0.5;17.05;0.35;7.94;3.86;28961;0;245.7;0;36.8;34.7;87;4363;3226;
